id,screen_name,user_key,name,description,clean_description,created_at,followers_count,friends_count,favourites_count,listed_count,media_count,statuses_count,status_count,fast_followers_count,normal_followers_count,user_age,follower_growth_rate,friends_growth_rate,default_profile,default_profile_image,verified,has_custom_timelines,is_translator,possibly_sensitive,want_retweets,hashtag_in_description,numbers_in_description,translator_type,no_type_tweet,no_type_retweet_with_comment,no_type_reply,mean_no_media_per_tweet,mean_no_words,no_languages,mean_no_hashtags,mean_favourites_per_tweet,time_between_tweets,tweet_frequency,min_tweets_per_hour,min_tweets_per_day,max_tweets_per_hour,max_tweets_per_day,max_occurence_of_same_gap,unique_mention_rate_per_tweet,mean_user_mentions_per_tweet,retweet_as_tweet_rate,no_retweet_tweets,mean_retweets_per_tweet,description_length,followers_friend_ratio,num_digits_in_name,num_digits_in_username,url_in_description,label_raw,label_binary,has_profile,has_raw_tweets,has_description,has_behavior_temporal,has_graph
1.21864e+18,yYh8x5hC6nxh1Wd,yyh8x5hc6nxh1wd,mahboubeh bayat محبوبه بیات,هنر سینما تاتر سیاست .   یک زمانی بازیگر سینما تاتر وتلویزیون بودم امروز فقط داغ ایران پادشاهی دارم,هنر سینما تاتر سیاست . یک زمانی بازیگر سینما تاتر وتلویزیون بودم امروز فقط داغ ایران پادشاهی دارم,2020-01-18T21:07:10+00:00,37928.0,17149.0,147066.0,41.0,4121.0,160474.0,160474.0,0.0,37928.0,1904.0,19.92017,9.006828,1.0,False,0.0,False,False,False,False,0.0,0.0,none,21.0,5.0,0.0,0.633333,15.0,2.0,0.733333,743.9333,2173387.0,84.28256,0.0,0.0,4.0,8.0,5.0,0.0,0.0,7640.380952,160448.0,109.7333,99,2.2116741500962154,0,4,0,bot(1),1,1,1,1,1,1
1.63827e+18,YasiPatriot,yasipatriot,☼ 𓃬 Yasi,Opinions are my own!,Opinions are my own!,2023-03-21T20:11:38+00:00,8081.0,653.0,241292.0,35.0,3420.0,62389.0,62389.0,0.0,8081.0,746.0,10.83244,0.875335,1.0,False,0.0,False,False,False,False,0.0,0.0,none,169.0,53.0,229.0,1.629237,29.39407,6.0,1.733051,365.5191,113588.1,83.63137,0.0,0.0,4.0,15.0,22.0,0.366525,0.733051,366.4970414,61938.0,77.76059,20,12.375191424196018,0,0,0,human(2),0,1,1,1,1,1
1.76354e+18,BarfiiIran,barfiiiran,برفی,خدایا یه کاری کن بال پرندم نشکنه,خدایا یه کاری کن بال پرندم نشکنه,2024-03-01T12:02:11+00:00,3492.0,1777.0,31182.0,2.0,463.0,32295.0,32295.0,0.0,3492.0,400.0,8.73,4.4425,1.0,False,0.0,False,False,False,False,0.0,0.0,none,96.0,0.0,2.0,1.026549,15.16814,1.0,1.185841,736.4425,283983.3,80.7375,0.0,0.0,2.0,4.0,16.0,0.026549,0.026549,335.3854167,32197.0,122.1947,32,1.9651097355092852,0,0,0,bot(1),1,1,1,1,1,1
1.10064e+18,EbneHava,ebnehava,آدم,"‏‏ضعيفِ قاصرِ فانی                                                                  
 
                             (هر سه اکانت قبلی به رحمت ایزدی پیوستند)","‏‏ضعيفِ قاصرِ فانی 
  
  (هر سه اکانت قبلی به رحمت ایزدی پیوستند)",2019-02-27T06:28:52+00:00,97619.0,453.0,954094.0,580.0,14400.0,176045.0,176045.0,0.0,97619.0,2229.0,43.79498,0.20323,1.0,False,0.0,True,False,False,False,0.0,0.0,none,0.0,0.0,1.0,1.0,8.0,1.0,0.0,54.0,0.0,78.97936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,176044.0,176044.0,2.0,156,215.4944812362031,0,0,0,human(2),0,1,1,1,1,1
8.22393e+17,AzadehKhorasan,azadehkhorasan,Azadeh Khorasani👑💙,👑👑👑👑👑👑👑,,2017-01-20T10:39:13+00:00,28323.0,635.0,249832.0,41.0,18891.0,232715.0,232715.0,0.0,28323.0,2997.0,9.45045,0.211879,1.0,False,0.0,True,False,False,False,0.0,0.0,none,121.0,6.0,9.0,0.992857,28.63571,3.0,2.1,375.8286,723058.9,77.64932,0.0,0.0,4.0,6.0,5.0,0.064286,0.142857,1922.140496,232579.0,83.47857,7,44.60314960629921,0,0,0,human(2),0,1,1,1,1,1
1.11973e+18,Nastaran9638495,nastaran9638495,👑Nastaran👑,"مشروطه خواه، ندانم گرا #رضا_شاه_دوم_پهلوی_سوم
#ایران_معبد_ماست

#جاویدشاه","مشروطه خواه، ندانم گرا رضا_شاه_دوم_پهلوی_سوم
 ایران_معبد_ماست
 
 جاویدشاه",2019-04-20T22:12:20+00:00,40894.0,5736.0,256950.0,44.0,7661.0,165127.0,165127.0,0.0,40894.0,2177.0,18.78457,2.634819,1.0,False,0.0,True,False,False,False,1.0,0.0,none,437.0,32.0,28.0,0.991968,32.6988,3.0,1.807229,383.8514,186374.5,75.85071,0.0,0.0,3.0,8.0,2.0,0.074297,0.126506,376.7276888,164630.0,98.78715,73,7.129358437935844,0,7,0,bot(1),1,1,1,1,1,1
1.17651e+18,sattarkhan121,sattarkhan121,داش غلام,Master of Science(MSc) مهندس(کارشناس ارشد)از اقوام ایرانی #ما_ملت_کبیریم_ایران_را_پس_میگیریم #رضاشاه_روحت_شاد برانداز،صدای مبارزین خیابانی، تکیه به قدرت مردم,Master of Science(MSc) مهندس(کارشناس ارشد)از اقوام ایرانی ما_ملت_کبیریم_ایران_را_پس_میگیریم رضاشاه_روحت_شاد برانداز،صدای مبارزین خیابانی، تکیه به قدرت مردم,2019-09-24T14:40:02+00:00,42838.0,28696.0,152908.0,22.0,13423.0,150342.0,150342.0,0.0,42838.0,2020.0,21.20693,14.20594,1.0,False,0.0,True,False,False,False,1.0,0.0,none,111.0,1.0,14.0,2.368421,26.13816,3.0,3.085526,133.6908,273052.5,74.42673,0.0,0.0,10.0,14.0,27.0,0.138158,0.414474,1353.297297,150216.0,35.23684,157,1.492821299135768,0,3,0,bot(1),1,1,1,1,1,1
1.40619e+18,Sadaf__12,sadaf__12,Sadaf🌞,ایران معبد ماست,ایران معبد ماست,2021-06-19T10:17:49+00:00,6205.0,985.0,108935.0,7.0,1927.0,100605.0,100605.0,0.0,6205.0,1386.0,4.476912,0.710678,1.0,False,0.0,True,False,False,False,0.0,0.0,none,0.0,0.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,72.58658,1.0,1.0,1.0,1.0,1.0,0.0,2.0,100604.0,100604.0,0.0,15,6.299492385786802,0,2,0,human(2),0,1,1,1,1,1
1.63832e+18,SaiedehSaideh59,saiedehsaideh59,Saiedeh,سلام دوستان پادشاهی خواه و برانداز 👑💙💙💙👑👑اگر با ادب هستی فالو نکن چون من فحش میدم به اخوندای پفیوز و تجزیه طلبها🙏اکانت قبلی با۳۶ کا ساس شد,سلام دوستان پادشاهی خواه و برانداز اگر با ادب هستی فالو نکن چون من فحش میدم به اخوندای پفیوز و تجزیه طلبهااکانت قبلی با۳۶ کا ساس شد,2023-03-21T23:25:10+00:00,17735.0,1556.0,92354.0,23.0,5902.0,49516.0,49516.0,0.0,17735.0,746.0,23.77346,2.085791,1.0,False,0.0,False,False,False,False,0.0,1.0,none,147.0,2.0,4.0,0.915584,19.37662,1.0,1.337662,950.6818,396673.0,66.37534,0.0,0.0,4.0,4.0,2.0,0.025974,0.025974,335.8027211,49363.0,168.0325,138,11.397814910025707,0,2,0,human(2),0,1,1,1,1,1
1.03207e+18,PanteaRasouli,pantearasouli,Pantéa Rasouli پانته آ رسولی,"زن زندگی آزادی 
مرد میهن آبادی","زن زندگی آزادی 
 مرد میهن آبادی",2018-08-22T00:56:17+00:00,18587.0,1999.0,379300.0,37.0,5925.0,150693.0,150693.0,0.0,18587.0,2418.0,7.686931,0.826716,1.0,False,0.0,True,False,False,False,0.0,0.0,none,17.0,4.0,5.0,0.923077,29.38462,3.0,2.346154,252.1538,3209560.0,62.32134,0.0,0.0,1.0,2.0,1.0,0.307692,0.423077,8862.764706,150667.0,53.19231,30,9.29814907453727,0,0,0,bot(1),1,1,1,1,1,1
