screen_name,tweet_count,mean_like_count,mean_reply_count,mean_retweet_count,mean_quote_count
NikiPatriot,109,138.348623853211,6.302752293577981,48.04587155963303,2.0275229357798166
NilaBehzadi,4,109.5,3.0,14.5,0.0
Nilgonbanoo,4,1.0,0.0,0.0,0.0
Nokhod_f,1,1564.0,53.0,53.0,9.0
NoushaEshghi,118,280.864406779661,18.228813559322035,66.05084745762711,3.0677966101694913
OfficialSimin,2,230.0,9.5,59.0,5.5
Oliver_jzy,24,7.333333333333333,0.2916666666666667,0.9583333333333334,0.041666666666666664
OmidKT62,12,926.1666666666666,119.83333333333333,100.08333333333333,9.583333333333334
Omidam_Hamin,4,3.5,1.0,0.0,0.0
Overthrower_,8,211.125,13.375,43.625,2.0
PDKIfarsi,1,320.0,162.0,85.0,25.0
PIISHGOO,2,213.0,7.0,3.0,1.0
PMOIRAN,2,388.5,68.0,359.5,22.0
Pahlavi3vom,2,12.0,0.5,4.5,0.5
Pahlavi433726,34,0.5294117647058824,0.08823529411764706,0.11764705882352941,0.0
PahlaviKourosh,2310,4.812554112554112,0.37792207792207794,1.3082251082251082,0.0367965367965368
PahlaviReza,30,2982.733333333333,121.63333333333334,897.5666666666667,51.43333333333333
PahlaviahoraeeP,1476,273.2168021680217,15.894308943089431,81.10433604336043,3.4037940379403793
Pahlavist2582,40,59.55,2.775,14.7,1.05
PanteaPeyvandi,173,535.543352601156,8.497109826589595,95.0,2.167630057803468
PanteaRasouli,26,252.15384615384616,11.5,53.19230769230769,1.6538461538461537
ParhamRamin,3,289.6666666666667,317.0,39.0,29.333333333333332
Parinaz_ETSM,3,247.66666666666666,4.0,34.666666666666664,1.0
Parpanchi,1,7099.0,795.0,1532.0,211.0
Parsaghobadi123,4,1035.5,63.5,268.5,13.0
ParthianE,9,347.3333333333333,17.77777777777778,65.66666666666667,4.222222222222222
PartyPikp2582,2,3306.0,257.5,578.5,85.0
Parvin965631051,4,107.0,7.75,32.5,3.0
PeaceHappyJoy,38,425.86842105263156,16.81578947368421,94.21052631578948,4.2631578947368425
Pedar_Bozorgggg,6,300.0,14.666666666666666,35.0,2.0
Pegahan__,49,102.46938775510205,5.1020408163265305,32.89795918367347,0.6530612244897959
Peleja11,24,379.9583333333333,27.333333333333332,57.375,2.0416666666666665
Peroz401939762,171,138.8421052631579,10.660818713450292,48.54385964912281,1.5614035087719298
PersianGW,434,1502.1566820276498,53.566820276497694,208.47926267281105,4.78110599078341
Persian_picture,12,5543.75,54.25,336.8333333333333,7.833333333333333
PhoenixprjIran,3,1416.3333333333333,45.333333333333336,493.6666666666667,19.0
Pirooz25372,69,150.42028985507247,7.753623188405797,18.0,1.855072463768116
PnMd1982,217,156.91705069124424,3.5299539170506913,34.884792626728114,0.8433179723502304
ProSHaHansHaaHi,5,556.0,148.0,98.0,52.8
Pro_Pahlavi,472,1.6292372881355932,0.06991525423728813,0.3072033898305085,0.014830508474576272
ProjectLeonOnX,36,275.72222222222223,17.27777777777778,72.27777777777777,3.361111111111111
PsrAsfhan27734,4,0.5,0.0,0.0,0.0
Qaaaasem,6,116.83333333333333,3.0,27.0,1.5
Queenaurora209,59,149.61016949152543,10.694915254237289,49.932203389830505,2.0508474576271185
R0tterdamer,2,103.5,1.5,9.0,0.0
RADOCLUB,30,1169.5333333333333,41.56666666666667,223.33333333333334,3.2666666666666666
RBehrouzDO,85,474.61176470588236,13.08235294117647,88.97647058823529,2.4235294117647057
REGIME_CHANGE03,19,401.1578947368421,56.31578947368421,60.8421052631579,4.0
REZAKH__,2,105.0,26.5,6.0,2.0
RFI_Fa,1,98.0,900.0,8.0,39.0
RShemroon,8,245.0,14.125,65.625,2.875
RadioFarda_,2,700.0,339.0,51.5,28.5
RadioZamaneh,1,577.0,1017.0,144.0,171.0
Radiomashrooteh,8,360.125,11.0,108.375,6.25
Radman2576,7,247.14285714285714,12.571428571428571,40.285714285714285,2.7142857142857144
RadmanIrani,20,122.2,1.6,21.05,0.5
RadmehrSiavash,1,155.0,0.0,16.0,1.0
RageAndHope,2,2.0,0.5,0.0,0.0
Raha_B_E_1,348,161.51724137931035,5.7155172413793105,46.4080459770115,0.7068965517241379
Rayan9717,7,819.7142857142857,29.142857142857142,181.57142857142858,4.142857142857143
Rchii_joon,1,2.0,2.0,0.0,1.0
RealAliJalali,32,329.21875,23.65625,85.84375,5.96875
RealPersianGod,34,2535.5588235294117,35.94117647058823,337.11764705882354,4.823529411764706
