screen_name,tweet_count
Sheyda_RI,5
ShiraziShaheen,610
Shirzad1968,33
Sho_Ber_5,36
SiamakGhassemi,1
SiavashIran,5
Siavashshahy,3
Silmaethdante,1
SinaToossi,1
Sinnerlondon,6
Sokoot3333,2
SoleymaniAzadeh,318
Solo_Commando,35
Sonofthebeach22,16
SooreBoz,10
Sssccpp,5
StupidJalal,2
SunLight__White,256
SushyanPahlavi,585
TNitrT,12
TahsinZhaleh,678
Tanha59977799,3
Tanha_5566,14
Tanhatarin00,22
TaraMedric,29
Tasnimnews_Fa,2
Tavaana,1
Ted_homan1361,1
Teeegra,1
Thank_you_Dj,41
TheBalochWorld,1
TheNorth_A,2
The_Doonald,3
TinaFay1978,228
TinaGhazimorad,3
Tinaaa2048,72
Tinabakhshi,15
Tondar1985,221
Tondbad3,3
TonyFreeman2015,10
ToukaNeyestani,2
Trdigrade,4
Ttp0088,8
Tymsar2578,1
UomoMees,53
VOAfarsi,10
Vahid,1
Vatanamk,27
Verethragnan,257
VidaSarafraz,401
ViemonX,86
With_pahlavi3,18
X4LIREZ4X,1
XPishik,115
YRnESzv9zRLIXuQ,216
YaarGhadimi,43
YaldaRod,1
YarabAydad,33
YasiPatriot,423
Yasmin4freedom,1
YepremKhann,45
ZAAL1474,5
Zagros1402,52
ZananFirouzehie,10
ZaneSharghi1358,1
Zimmermann____,934
_AshkAval_,43
_Hassan_sabbah_,1
_Jese_Pinkman,2
__H59__,9
__Injaneb96,3
____ROHI____,10
_mendeleev,2
_tinafrn_,1
aalchaa,5
ab_ganji,1
abdolah_abdi,3
abdorezaahmadi,1
abelbalb,1
abornaei,2
adam_hesabi,550
adam_hesabi1,8
afshari_aku,4
agha_rashti2,57
agha_xavier2,29
aghachurchill,14
aghayehesam,1
ahampay,18
ahmad_313m,1
akhtar1989,7
akserouz,2
alale26361947,1
alasht_Iran,74
ali_bitarafan5,1
aliemamiofnyc,27
alinaghi2018,16
alirezakiani2,13
alirzadabir,1
amiirhosseiinam,1
amin1917,8
aminkhss,1
amir41355273,60
amiretemadi,2
amirmoghadam_ir,1
amoopoya,42
antipantork1,2
aokurucz,284
arash135713,1
arash_tehran,5
ardeshir1387,34
ardeshiramiri,2
arezoubehrang_,375
ariafarpoori,190
ariamehr104,16
ariyaii_rahjoo,11
arsh9933,147
arteemis60,8
artesh_shah,139
arthorfmorgan,1
aryaieeasil,44
asoupar,1
atheistChild789,5
atheistcyrus,78
avantgardearses,24
ayazi_kamran,18
azadsocial_,1
azarbayjanX,1
azarthepersian,10
b2Kaveh,22
ba262626,5
baaarzaaakh,19
baharr_ali,1
balochestan1422,2
baran_mehr36,7
barayeiran9,93
bardi1980,19
bashirtash,1
beni_ta1,15
benyamin_aras,1
bernoam,2
bidari60,27
boss_big666,10
brgsht8970,9
c5GbNjtYsfYcHMr,2
cafeandisheh,3
california123AA,119
callmeraha13,1
chamli69,3
charlychaplin25,62
chawshin_83,2
chehre3521,10
cicikhanoom,1
corrrdeliiiaaa,2
cpiparty,2
crissss_sh,1
cryptosamz,2
dadkhahim,2
dariush1399,11
dariush2023,49
dariush25371,1
dariush_omran,1
darushirani13,60
darwinsabouri,1
daystar98173834,145
derafshkavianee,3
dkhos,1
drfalahatpishe,1
drkopii,51
drpezeshkian2,1
ebrahimi_mazyar,100
eisa_1355,1
eliiranabad,17
enferadi_shode,509
esmaeilion,1
esmailpour_m,2
estemnayi1,1
etelaf10,144
fairghh,37
faraaaz21_,1
farashgardii02,86
fardad200,73
faribadavodi,7
farshadeashour,5
farshidbabaei18,19
farvahar2023,42
fatemeh_sadat91,1
fcpii_official,4
fereidonfz,5
fereshtehgilaki,157
firstzorba1,16
flexcr7,2
foadshams,1
foster_spar,1
frank_1929,12
frarandeh,12
freeman010,690
fuxy_twite,256
fuzakeruna16,4
georg_patriot,18
ggehhry2,77
gh0lch0magh,1
gohareshghi,1
golberg2582,57
golnarjahanbani,1
golrokhiraee,1
goodbadatusa,294
gorbehsiah,2
green_Amir,11
hadimehrane1,2
hadinik,1
hadint83,1
hajmaameed,2
hamalilalin,2
hambastegi,5
hamidsanati6661,25
haniiiissss1387,30
hardseltzerr,2
hasanakevazir1,11
hashemasa,859
hashemy_ir,1
hassanshariatm5,1
hastyarrr,109
hesamorouji,62
hightesla,3
hoda2728,110
hojjat_kalashi,22
homeyramis,353
honarparvar2020,3
hooman__khalili,10
hossein_d15,1
hosseintajik07,15
hs_maryam,8
hzarkesh,4
ilya_sh3,1
iman_inj,4
imdearie2,124
inazkam,1
indypersian,13
interchapga,10
inventor_kevin,197
iraj63569385,161
iraj_mesdaghi,1
iran22851566,228
iran33k,5
iran_misazamat,597
iran_vdt,97
iranariyayi64,45
iranaxis,1
irandokht_20,33
iranianbamdad20,2
iranianpappppi3,404
iranologyscty,1
iranovsky,24
irantehran401,1
iranwire,1
iranzad_98,13
israelrouydad,416
itisbatgirl,53
itsgisou,1
itshamedfard,48
jabijoon26588,165
jalilparsi,4
jalovemila,262
javadsimin,1
javid_EPir,2
jiar06731264,23
john_lucckk,1
jwd06342045,18
jwny_ywsf,1
k_Mostafavi,1
kalaq666,14
kamalpishvandi,7
kamangir77,1
kasrakarimi3,67
kaveh_shirzad,2
kaykhosrow5,209
kayvanabbassi,1
kazeroonkings,510
ketn7912,13
keykemiveyi,394
keyonek1,1
khalaji_mehdi,1
kharkhali,12
kharmagas_UK,2
khodn98,15
khokhlakof,1
khormal0098,25
khshayartaj,3
kiaAbi444,1
kiarashfarasat1,13
king_Sarab47,1
king_fishpoet,280
knbhgfk,3
kont1320,1
koroshCR7,11
koruosh2023,13
koteh_bamishi,3
kouli2017,1
kouresh_kabir,98
kouroch7,226
kshahrooz,4
kuroosh521,5
lIshaghayeghlI,37
leiliii27,36
leiluniran,1
lexi__princess,17
lilireyyy,1
limondar0,30
liwooom,2
lnahalllnahall,1
m_ojmal,1
m_rahmanifar,1
maanii_a,3
mabi182,20
mahboubeh_mdi,17
mahdieh_golroo,1
mahenoghre,14
mahii_to,1
mahistan,31
mahrokh19726311,371
mahsa8659,70
mahsa_300,68
mahsa_piraei,1
majid53866855,4
majid_ranjbaran,508
majidazarpey,1
majidfallah11,9
mandela08940434,1
manototv,3
mard_meshki,4
margbar3fased,12
marianmeyer0,15
maryan1810,34
marytabanejad,1
mashmolak,4
mashrotehorg,8
matador_khaste,24
matmat1389,7
max_mad777,7
megamaniran,2
mehrdadbkhtiari,2
memar1982,1
memarsadeghi,1
merlin_a_h,239
mery202120,26
mihanimarzban03,9
mikhake_noqrehi,106
miladpoureisa,1
milaniabbas,1
mirakh838,1
mnz1033,1
mobarez_nastooh,1
moh_heidari,2
mohammad2zab,1
mohammadd4456,1
mohammadsoltann,1
mojgan07798961,321
mojtabanikoo,1
mollah,8
morrysafi,12
moslehiali,1
mostafaa2024,1
mostafaa_karimi,1
mostafamehraeen,2
mr_yousefi_,1
mrhosein00,5
myfootkin,1
mypersia1_,6
naderifar,5
nafasjan903269,1
nargesfnd,1
naslesookhtehh,145
naslsokhteh60,26
nasrinraj,2
nastaran8888,17
nav11dd,4
navidi49,94
navidmajd11,71
nazanin7,247
negannegan55,139
nejatbahrami,2
neo_pahlavism1,21
neptunegalaxy21,2
nesbyat,1
netvand,3
niko123niki,570
nimania,3
noodlesss1990,98
nooralitoon,2
obeydzacany,66
off734,63
omid_133A,1
omid_AV2,2
omiddana19,3
onlymuratt,6
ordinaryman1980,31
oshtb,143
osyangary,37
pahlavi_davoud,1
pahlavi_yasmine,4
pahlavikhah43,173
pahlavirezacpar,13
parand____,6
pardisa6,8
parla91979,56
parsi27871,116
parspersian,65
partneremma,1
parwaz22,35
parysatis_banoo,31
pasargadguard,118
patrick_jane77,7
pegah_shirazi,10
persepolis78,5
persian_warior,6
pesarrrr,2
pirouzimm,2
pirozzzzzzzzz,57
pizza_facey,218
pk20333999,282
policenama1401,14
potypto,1
pouriazeraati,3
pourya,24
powerpeople_,6
prime_factor_,2
protester0101,2
proudlypersian1,329
quietgirl7319,1
r_rahimpour,1
rahaaaman,1
rahaforever4you,175
rahar9075,164
rahayee_,1
rahe_AZADI_5,98
rahimy166,471
rasoulipour,2
rasulbajelan,9
rayehe_rabi,134
re1001za,1
realfarid7,1
remisgp,1
reptile_fight,225
rezak121212,145
rezatorkamand,46
rezayyyyy,1
rezayyyyyyy,9
riokhosravi,68
rosaparto,1
roshanak_ast,5
roshangarnasl,1
rouhanim,74
rrghadi01,1
runykeyoldpics,3
ryaniran,1
saba_khoi,125
sababagherii,4
sadat110_hosna,1
sadeghZibakalam,1
saeed_akbari39,92
saeid_555555,82
safarazlilipoot,2
saiedshemirani,1
salarvan_vahid,1
samadiHosein,4
saman_sarraf,132
samirkh1389,6
samsarbazvatan,5
sanazazanas,11
sandys_khor,1
sangtarash_azad,1
saraa22shz,33
saraghavamian,23
saramobarez1,1817
sasanrahimpour1,239
satggin,234
sattarkhan121,126
sazanist40,1
scharllinn,10
searusM,5
secular_d,2
sedaye_iran,8
sedaye_mardoom,2
seedhossein2111,1
sepahani,10
sepiedhia,30
seyedMuostafa,1
shadisadr,2
shah_parast_k,521
shah_pari431,1
shahdadh59,34
shaheen_ir,1
shahii1984,37
shahinnajafi80,2
shahira60210003,113
shahnazteherani,5
shararehtalaeii,398
shayan_shahnazi,362
sheykhbabar2,1
shgolzarfar,1
shino_sdch,28
shirinkhanomam,1
shirkhaan69,14
shooresh57,140
shortfairy809,8
siaayrom,1
siahylashkar,6
siamakfarid,1
siavash_sepehr0,53
siavosh48,6
simin223316966,197
simonederayeh,11
simurgh2580,19
sirous15,108
smjm1972,27
soheili84,615
sohrab_siyavosh,343
soozi2244,1
soroush_mary,11
sourenasanto,131
ssaallaar,10
starbombaIR,30
steveimcqueen,87
suuoozanam,4
talaye738,1
tanha1358,1
tanhatak5112,3
tanhayektiger,78
the_leoleeny,3
thesittinggav,76
